uf,cod_uf,cod_setor,cod_municipio,municipio,distrito,tipo,geometria
DF,53,530010805060145,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9053484863794, -15.8245537377829), (-47.9043953915769, -15.8257035319524), (-47.90497900525361, -15.8261545837311), (-47.90517364178569, -15.8259329771928), (-47.90585498897549, -15.8264495334343), (-47.90644760257779, -15.8256826217137), (-47.90676602353609, -15.8255681345424), (-47.9053484863794, -15.8245537377829))"
DF,53,530010805060146,5300108,Brasília,BRASÍLIA,Polygon,"((-47.907106224931, -15.8234387415239), (-47.90647246606479, -15.8242849322068), (-47.90570555434421, -15.8237556997385), (-47.90518226385721, -15.8244338778716), (-47.9053484863794, -15.8245537377829), (-47.90676602353609, -15.8255681345424), (-47.9071733790541, -15.8249826657615), (-47.9068103200571, -15.8246901848209), (-47.90752157956909, -15.8237460770285), (-47.907106224931, -15.8234387415239))"
DF,53,530010805060147,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9119618371681, -15.8250806197657), (-47.91106724559721, -15.8262388197686), (-47.91181915367879, -15.8267822843875), (-47.9116004887667, -15.8270706685469), (-47.911870452784, -15.8272554641655), (-47.91208852349801, -15.8269914421295), (-47.9130692671739, -15.8276953696584), (-47.9127842452453, -15.828068081364), (-47.9130891538393, -15.8282763983687), (-47.91426603740109, -15.8267445414679), (-47.9128902948423, -15.8257523409611), (-47.9119618371681, -15.8250806197657))"
DF,53,530010805060148,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9080019303954, -15.8254071230523), (-47.9074909931562, -15.8260993052342), (-47.9088913507457, -15.827113195618), (-47.90984015379491, -15.8278306665728), (-47.91106724559721, -15.8262388197686), (-47.9106351460181, -15.8259442437284), (-47.9102504706139, -15.826443195321), (-47.90930609171831, -15.8258252292651), (-47.9090969339763, -15.8260945990843), (-47.9080019303954, -15.8254071230523))"
DF,53,530010805060149,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9071593162609, -15.8258566924016), (-47.9057769509543, -15.8276616976209), (-47.9055186728336, -15.8274957182764), (-47.9050246961209, -15.8281449787671), (-47.9058647363411, -15.8287120358135), (-47.9065731764494, -15.8277266632831), (-47.9068393772119, -15.8279104685716), (-47.9075207244017, -15.8270167945831), (-47.9082169752448, -15.8274775470293), (-47.9084651032973, -15.8271372187375), (-47.90871862783311, -15.827330531196), (-47.9088913507457, -15.827113195618), (-47.9074909931562, -15.8260993052342), (-47.9071593162609, -15.8258566924016))"
DF,53,530010805060150,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9088913507457, -15.827113195618), (-47.90871862783311, -15.827330531196), (-47.9084651032973, -15.8271372187375), (-47.9082169752448, -15.8274775470293), (-47.9079612232826, -15.8277995515872), (-47.90815770479779, -15.8279421591385), (-47.9072862142061, -15.8290893576627), (-47.9070763082766, -15.8295785687352), (-47.9077425583705, -15.8300559199553), (-47.90810152030801, -15.8295966597485), (-47.9087027825496, -15.8300432437285), (-47.9089076840731, -15.8297509227496), (-47.90834467914291, -15.8293397131418), (-47.9087474262631, -15.8287911314168), (-47.90896237124209, -15.8289518782034), (-47.90984015379491, -15.8278306665728), (-47.9088913507457, -15.827113195618))"
DF,53,530010805060151,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9121756725572, -15.8295104460713), (-47.9112810082384, -15.8306685382279), (-47.91106333365659, -15.8305055298741), (-47.91058891242169, -15.830162100071), (-47.90993198041589, -15.8309840574353), (-47.9090569028846, -15.8303289710862), (-47.9087583441421, -15.8307624624204), (-47.9104166480244, -15.8319733973228), (-47.9109268661526, -15.8313427550402), (-47.9111930669151, -15.8315202222152), (-47.9125465028723, -15.8297638813389), (-47.9121756725572, -15.8295104460713))"
DF,53,530010805060152,5300108,Brasília,BRASÍLIA,Polygon,"((-47.91086348501861, -15.8278377783336), (-47.9104348701004, -15.8282727313652), (-47.9102899141214, -15.8284754576881), (-47.9110904128815, -15.8290141865949), (-47.910919735775, -15.8292488008278), (-47.9116517878719, -15.8297431736725), (-47.91106333365659, -15.8305055298741), (-47.9112810082384, -15.8306685382279), (-47.9121756725572, -15.8295104460713), (-47.912506877284, -15.8290283869978), (-47.91086348501861, -15.8278377783336))"
DF,53,530010805060153,5300108,Brasília,BRASÍLIA,Polygon,"((-47.91106724559721, -15.8262388197686), (-47.90984015379491, -15.8278306665728), (-47.9104348701004, -15.8282727313652), (-47.91086348501861, -15.8278377783336), (-47.91101066471639, -15.8276689439552), (-47.91237707329089, -15.8285764410817), (-47.9127842452453, -15.828068081364), (-47.9130692671739, -15.8276953696584), (-47.91208852349801, -15.8269914421295), (-47.911870452784, -15.8272554641655), (-47.9116004887667, -15.8270706685469), (-47.91181915367879, -15.8267822843875), (-47.91106724559721, -15.8262388197686))"
DF,53,530010805060154,5300108,Brasília,BRASÍLIA,Polygon,"((-47.91426603740109, -15.8267445414679), (-47.9130891538393, -15.8282763983687), (-47.912712713182, -15.8287625575507), (-47.914467494747, -15.8300664174555), (-47.9148747185325, -15.8295213397037), (-47.9154831774183, -15.8290554883693), (-47.9166291060935, -15.8298960378284), (-47.9173434136993, -15.8289699238385), (-47.9150141570272, -15.8272966619026), (-47.91426603740109, -15.8267445414679))"
DF,53,530010805060155,5300108,Brasília,BRASÍLIA,Polygon,"((-47.9166291060935, -15.8298960378284), (-47.9154831774183, -15.8290554883693), (-47.9148747185325, -15.8295213397037), (-47.914467494747, -15.8300664174555), (-47.912712713182, -15.8287625575507), (-47.912506877284, -15.8290283869978), (-47.9121756725572, -15.8295104460713), (-47.9125465028723, -15.8297638813389), (-47.9143291056108, -15.8310583318396), (-47.9151544815394, -15.8317850647869), (-47.9166291060935, -15.8298960378284))"
