municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao,cod_municipio,cod_estado,estado
Brasília,"0,824","0,863","0,873","0,742",5300108,53,DF
Ariquemes,"0,702","0,716","0,806","0,600",1100023,11,RO
Cabixi,"0,650","0,650","0,757","0,559",1100031,11,RO
Ministro Andreazza,"0,638","0,647","0,776","0,518",1101203,11,RO
Pimenteiras do Oeste,"0,665","0,662","0,816","0,545",1101468,11,RO
Primavera de Rondônia,"0,641","0,645","0,799","0,512",1101476,11,RO
São Felipe D'Oeste,"0,649","0,615","0,780","0,571",1101484,11,RO
Candeias do Jamari,"0,649","0,652","0,819","0,512",1100809,11,RO
Rio Crespo,"0,643","0,637","0,813","0,513",1100262,11,RO
São Francisco do Guaporé,"0,611","0,657","0,751","0,462",1101492,11,RO
Seringueiras,"0,598","0,644","0,779","0,427",1101500,11,RO
Teixeirópolis,"0,643","0,653","0,818","0,498",1101559,11,RO
Theobroma,"0,589","0,622","0,757","0,434",1101609,11,RO
Urupá,"0,609","0,621","0,772","0,471",1101708,11,RO
Nova União,"0,662","0,624","0,818","0,568",1101435,11,RO
Mirante da Serra,"0,643","0,673","0,800","0,494",1101302,11,RO
Monte Negro,"0,607","0,645","0,762","0,454",1101401,11,RO
Alto Alegre dos Parecis,"0,592","0,603","0,777","0,443",1100379,11,RO
Alto Paraíso,"0,678","0,677","0,829","0,556",1100403,11,RO
Buritis,"0,672","0,666","0,815","0,558",1100452,11,RO
Novo Horizonte do Oeste,"0,634","0,606","0,799","0,527",1100502,11,RO
Cacaulândia,"0,646","0,664","0,801","0,506",1100601,11,RO
Campo Novo de Rondônia,"0,593","0,667","0,772","0,404",1100700,11,RO
Alvorada D'Oeste,"0,643","0,654","0,763","0,534",1100346,11,RO
Vale do Paraíso,"0,627","0,641","0,792","0,485",1101807,11,RO
Machadinho D'Oeste,"0,596","0,629","0,755","0,446",1100130,11,RO
Nova Brasilândia D'Oeste,"0,643","0,664","0,763","0,524",1100148,11,RO
Ouro Preto do Oeste,"0,682","0,687","0,812","0,569",1100155,11,RO
Pimenta Bueno,"0,710","0,726","0,803","0,613",1100189,11,RO
Porto Velho,"0,736","0,764","0,819","0,638",1100205,11,RO
Presidente Médici,"0,664","0,671","0,792","0,550",1100254,11,RO
Itapuã do Oeste,"0,614","0,633","0,751","0,488",1101104,11,RO
Parecis,"0,617","0,604","0,800","0,485",1101450,11,RO
Vale do Anari,"0,584","0,626","0,756","0,421",1101757,11,RO
Cujubim,"0,612","0,663","0,789","0,439",1100940,11,RO
Espigão D'Oeste,"0,672","0,691","0,819","0,536",1100098,11,RO
Guajará-Mirim,"0,657","0,663","0,823","0,519",1100106,11,RO
Jaru,"0,689","0,687","0,825","0,577",1100114,11,RO
Ji-Paraná,"0,714","0,728","0,810","0,617",1100122,11,RO
Cerejeiras,"0,692","0,688","0,799","0,602",1100056,11,RO
Colorado do Oeste,"0,685","0,676","0,814","0,584",1100064,11,RO
Corumbiara,"0,613","0,630","0,774","0,473",1100072,11,RO
Costa Marques,"0,611","0,616","0,751","0,493",1100080,11,RO
Rolim de Moura,"0,700","0,709","0,808","0,598",1100288,11,RO
Santa Luzia D'Oeste,"0,670","0,657","0,812","0,564",1100296,11,RO
Vilhena,"0,731","0,734","0,808","0,659",1100304,11,RO
São Miguel do Guaporé,"0,646","0,644","0,781","0,537",1100320,11,RO
Castanheiras,"0,658","0,650","0,803","0,547",1100908,11,RO
Chupinguaia,"0,652","0,659","0,820","0,514",1100924,11,RO
Governador Jorge Teixeira,"0,596","0,627","0,762","0,444",1101005,11,RO
Alta Floresta D'Oeste,"0,641","0,657","0,763","0,526",1100015,11,RO
Cacoal,"0,718","0,727","0,821","0,620",1100049,11,RO
Nova Mamoré,"0,587","0,619","0,769","0,424",1100338,11,RO
Tarauacá,"0,539","0,554","0,720","0,392",1200609,12,AC
Feijó,"0,539","0,559","0,723","0,388",1200302,12,AC
Mâncio Lima,"0,625","0,580","0,770","0,546",1200336,12,AC
Manoel Urbano,"0,551","0,586","0,767","0,373",1200344,12,AC
Brasiléia,"0,614","0,619","0,770","0,485",1200104,12,AC
Acrelândia,"0,604","0,584","0,808","0,466",1200013,12,AC
Assis Brasil,"0,588","0,578","0,770","0,456",1200054,12,AC
Xapuri,"0,599","0,621","0,773","0,448",1200708,12,AC
Marechal Thaumaturgo,"0,501","0,479","0,726","0,361",1200351,12,AC
Porto Acre,"0,576","0,593","0,771","0,418",1200807,12,AC
Capixaba,"0,575","0,601","0,794","0,398",1200179,12,AC
Jordão,"0,469","0,499","0,731","0,283",1200328,12,AC
Santa Rosa do Purus,"0,517","0,519","0,781","0,340",1200435,12,AC
Rodrigues Alves,"0,567","0,518","0,736","0,477",1200427,12,AC
Sena Madureira,"0,603","0,593","0,810","0,456",1200500,12,AC
Plácido de Castro,"0,622","0,593","0,786","0,517",1200385,12,AC
Porto Walter,"0,532","0,521","0,726","0,397",1200393,12,AC
Rio Branco,"0,727","0,729","0,798","0,661",1200401,12,AC
Senador Guiomard,"0,640","0,649","0,786","0,513",1200450,12,AC
Cruzeiro do Sul,"0,723","0,746","0,833","0,607",1200203,12,AC
Epitaciolândia,"0,653","0,654","0,771","0,553",1200252,12,AC
Bujari,"0,589","0,603","0,772","0,439",1200138,12,AC
Amaturá,"0,560","0,499","0,773","0,455",1300060,13,AM
Caapiranga,"0,569","0,544","0,775","0,436",1300839,13,AM
São Paulo de Olivença,"0,521","0,471","0,780","0,386",1303908,13,AM
Tapauá,"0,502","0,512","0,694","0,355",1304104,13,AM
Urucurituba,"0,588","0,538","0,776","0,487",1304401,13,AM
Nhamundá,"0,586","0,513","0,779","0,503",1303007,13,AM
Tonantins,"0,548","0,508","0,779","0,416",1304237,13,AM
Barcelos,"0,500","0,545","0,728","0,315",1300409,13,AM
Ipixuna,"0,481","0,476","0,772","0,302",1301803,13,AM
Juruá,"0,522","0,538","0,704","0,376",1302207,13,AM
Jutaí,"0,516","0,528","0,766","0,340",1302306,13,AM
Lábrea,"0,531","0,538","0,744","0,374",1302405,13,AM
Manaquiri,"0,596","0,556","0,748","0,510",1302553,13,AM
Barreirinha,"0,574","0,469","0,774","0,522",1300508,13,AM
São Gabriel da Cachoeira,"0,609","0,610","0,777","0,476",1303809,13,AM
Tabatinga,"0,704","0,700","0,818","0,609",1304062,13,AM
Apuí,"0,637","0,621","0,772","0,540",1300144,13,AM
Itacoatiara,"0,644","0,618","0,811","0,534",1301902,13,AM
Manacapuru,"0,614","0,604","0,795","0,481",1302504,13,AM
Manaus,"0,737","0,738","0,826","0,658",1302603,13,AM
Manicoré,"0,582","0,580","0,747","0,456",1302702,13,AM
Maués,"0,588","0,549","0,800","0,464",1302900,13,AM
Nova Olinda do Norte,"0,558","0,541","0,780","0,412",1303106,13,AM
Rio Preto da Eva,"0,611","0,590","0,785","0,493",1303569,13,AM
Iranduba,"0,613","0,607","0,799","0,476",1301852,13,AM
Tefé,"0,639","0,637","0,801","0,511",1304203,13,AM
Careiro,"0,557","0,515","0,779","0,431",1301100,13,AM
Careiro da Várzea,"0,568","0,523","0,779","0,450",1301159,13,AM
Anamã,"0,594","0,537","0,741","0,526",1300086,13,AM
Beruri,"0,506","0,512","0,731","0,346",1300631,13,AM
Japurá,"0,712","0,698","0,829","0,623",1302108,13,AM
Presidente Figueiredo,"0,647","0,627","0,802","0,538",1303536,13,AM
Santo Antônio do Içá,"0,490","0,438","0,759","0,353",1303700,13,AM
Itapiranga,"0,775","0,766","0,842","0,723",1302009,13,AM
Uarini,"0,527","0,535","0,724","0,378",1304260,13,AM
Silves,"0,632","0,546","0,791","0,584",1304005,13,AM
Carauari,"0,549","0,534","0,745","0,416",1301001,13,AM
Maraã,"0,498","0,466","0,763","0,348",1302801,13,AM
Novo Aripuanã,"0,554","0,532","0,759","0,421",1303304,13,AM
Parintins,"0,658","0,589","0,800","0,605",1303403,13,AM
Santa Isabel do Rio Negro,"0,479","0,461","0,737","0,323",1303601,13,AM
Itamarati,"0,477","0,529","0,772","0,266",1301951,13,AM
Envira,"0,509","0,521","0,727","0,349",1301506,13,AM
Guajará,"0,532","0,510","0,762","0,387",1301654,13,AM
Eirunepé,"0,563","0,548","0,756","0,431",1301407,13,AM
Boa Vista do Ramos,"0,565","0,496","0,750","0,484",1300680,13,AM
Atalaia do Norte,"0,450","0,481","0,733","0,259",1300201,13,AM
São Sebastião do Uatumã,"0,577","0,561","0,739","0,464",1303957,13,AM
Urucará,"0,620","0,551","0,754","0,575",1304302,13,AM
Novo Airão,"0,570","0,551","0,776","0,434",1303205,13,AM
Pauini,"0,496","0,531","0,724","0,317",1303502,13,AM
Benjamin Constant,"0,574","0,526","0,763","0,471",1300607,13,AM
Fonte Boa,"0,530","0,518","0,719","0,400",1301605,13,AM
Boca do Acre,"0,588","0,576","0,777","0,455",1300706,13,AM
Borba,"0,560","0,532","0,776","0,425",1300805,13,AM
Canutama,"0,530","0,522","0,752","0,379",1300904,13,AM
Coari,"0,586","0,606","0,780","0,425",1301209,13,AM
Codajás,"0,563","0,546","0,775","0,421",1301308,13,AM
Autazes,"0,577","0,539","0,799","0,446",1300300,13,AM
Humaitá,"0,738","0,732","0,837","0,657",1301704,13,AM
Anori,"0,561","0,540","0,757","0,433",1300102,13,AM
Alvarães,"0,527","0,499","0,778","0,377",1300029,13,AM
Amajari,"0,484","0,437","0,815","0,319",1400027,14,RR
Alto Alegre,"0,747","0,756","0,859","0,642",1400050,14,RR
Boa Vista,"0,752","0,737","0,816","0,708",1400100,14,RR
Bonfim,"0,637","0,669","0,834","0,464",1400159,14,RR
Pacaraima,"0,650","0,624","0,788","0,558",1400456,14,RR
Uiramutã,"0,453","0,439","0,766","0,276",1400704,14,RR
Cantá,"0,619","0,581","0,803","0,509",1400175,14,RR
Caracaraí,"0,624","0,601","0,780","0,518",1400209,14,RR
Caroebe,"0,639","0,600","0,791","0,549",1400233,14,RR
Iracema,"0,652","0,597","0,733","0,632",1400282,14,RR
Mucajaí,"0,665","0,661","0,813","0,547",1400308,14,RR
Normandia,"0,594","0,520","0,801","0,502",1400407,14,RR
Rorainópolis,"0,619","0,574","0,798","0,519",1400472,14,RR
São João da Baliza,"0,655","0,614","0,780","0,587",1400506,14,RR
São Luiz,"0,649","0,605","0,788","0,574",1400605,14,RR
Nova Ipixuna,"0,581","0,590","0,766","0,435",1504976,15,PA
Nova Timboteua,"0,609","0,564","0,791","0,507",1505007,15,PA
Novo Progresso,"0,673","0,709","0,828","0,519",1505031,15,PA
Acará,"0,506","0,517","0,757","0,332",1500206,15,PA
Marapanim,"0,609","0,570","0,760","0,521",1504406,15,PA
Marituba,"0,676","0,621","0,793","0,628",1504422,15,PA
Salvaterra,"0,608","0,580","0,793","0,488",1506302,15,PA
Santa Bárbara do Pará,"0,627","0,575","0,784","0,546",1506351,15,PA
Santa Luzia do Pará,"0,546","0,530","0,724","0,424",1506559,15,PA
São Sebastião da Boa Vista,"0,558","0,520","0,760","0,439",1507706,15,PA
Jacareacanga,"0,505","0,577","0,800","0,279",1503754,15,PA
Oeiras do Pará,"0,507","0,502","0,754","0,344",1505205,15,PA
São João da Ponta,"0,583","0,522","0,767","0,495",1507466,15,PA
Gurupá,"0,509","0,510","0,777","0,333",1503101,15,PA
Afuá,"0,489","0,485","0,774","0,311",1500305,15,PA
