municipio,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educacao
São Caetano do Sul (SP),"0,862","0,891","0,887","0,811"
Águas de São Pedro (SP),"0,854","0,849","0,890","0,825"
Florianópolis (SC),"0,847","0,870","0,873","0,800"
Balneário Camboriú (SC),"0,845","0,854","0,894","0,789"
Vitória (ES),"0,845","0,876","0,855","0,805"
Santos (SP),"0,840","0,861","0,852","0,807"
Niterói (RJ),"0,837","0,887","0,854","0,773"
Joaçaba (SC),"0,827","0,823","0,891","0,771"
Brasília (DF),"0,824","0,863","0,873","0,742"
Curitiba (PR),"0,823","0,850","0,855","0,768"
Jundiaí (SP),"0,822","0,834","0,866","0,768"
Valinhos (SP),"0,819","0,848","0,850","0,763"
Vinhedo (SP),"0,817","0,840","0,878","0,739"
Santo André (SP),"0,815","0,819","0,861","0,769"
Araraquara (SP),"0,815","0,788","0,877","0,782"
Santana de Parnaíba (SP),"0,814","0,876","0,849","0,725"
Nova Lima (MG),"0,813","0,864","0,885","0,704"
Ilha Solteira (SP),"0,812","0,786","0,871","0,782"
Americana (SP),"0,811","0,800","0,876","0,760"
Belo Horizonte (MG),"0,810","0,841","0,856","0,737"
São José (SC),"0,809","0,799","0,880","0,752"
Joinville (SC),"0,809","0,795","0,889","0,749"
Maringá (PR),"0,808","0,806","0,852","0,768"
São José dos Campos (SP),"0,807","0,804","0,855","0,764"
Blumenau (SC),"0,806","0,812","0,894","0,722"
Presidente Prudente (SP),"0,806","0,788","0,858","0,774"
Rio Fortuna (SC),"0,806","0,848","0,850","0,727"
São Paulo (SP),"0,805","0,843","0,855","0,725"
Assis (SP),"0,805","0,771","0,865","0,781"
Campinas (SP),"0,805","0,829","0,860","0,731"
São Bernardo do Campo (SP),"0,805","0,807","0,861","0,752"
Porto Alegre (RS),"0,805","0,867","0,857","0,702"
São Carlos (SP),"0,805","0,788","0,863","0,766"
Rio Claro (SP),"0,803","0,784","0,862","0,766"
Jaraguá do Sul (SC),"0,803","0,793","0,865","0,755"
Rio do Sul (SC),"0,802","0,793","0,894","0,727"
Bauru (SP),"0,801","0,800","0,854","0,752"
São Miguel do Oeste (SC),"0,801","0,787","0,884","0,739"
Pirassununga (SP),"0,801","0,789","0,884","0,736"
Concórdia (SC),"0,800","0,777","0,872","0,756"
Vila Velha (ES),"0,800","0,807","0,864","0,734"
Taubaté (SP),"0,800","0,778","0,883","0,746"
Ribeirão Preto (SP),"0,800","0,820","0,844","0,739"
Botucatu (SP),"0,800","0,790","0,869","0,746"
Goiânia (GO),"0,799","0,824","0,838","0,739"
Rio de Janeiro (RJ),"0,799","0,840","0,845","0,719"
Marília (SP),"0,798","0,768","0,854","0,776"
Sorocaba (SP),"0,798","0,792","0,843","0,762"
Guaratinguetá (SP),"0,798","0,764","0,886","0,751"
São João da Boa Vista (SP),"0,797","0,776","0,871","0,749"
São José do Rio Preto (SP),"0,797","0,801","0,846","0,748"
Fernandópolis (SP),"0,797","0,767","0,872","0,758"
Itapema (SC),"0,796","0,788","0,881","0,727"
Tubarão (SC),"0,796","0,788","0,866","0,740"
Carlos Barbosa (RS),"0,796","0,835","0,835","0,724"
Brusque (SC),"0,795","0,794","0,894","0,707"
Iomerê (SC),"0,795","0,754","0,891","0,749"
Paulínia (SP),"0,795","0,800","0,864","0,727"
Treze Tílias (SC),"0,795","0,838","0,874","0,685"
Itajaí (SC),"0,795","0,778","0,884","0,730"
Holambra (SP),"0,793","0,815","0,878","0,698"
Quatro Pontes (PR),"0,791","0,790","0,838","0,748"
Três Arroios (RS),"0,791","0,843","0,851","0,689"
Nova Odessa (SP),"0,791","0,755","0,861","0,762"
Ipiranga do Sul (RS),"0,791","0,818","0,866","0,698"
Saltinho (SP),"0,791","0,771","0,857","0,750"
Votuporanga (SP),"0,790","0,772","0,857","0,744"
Santa Cruz da Conceição (SP),"0,790","0,830","0,876","0,679"
Adamantina (SP),"0,790","0,772","0,852","0,750"
Chapecó (SC),"0,790","0,779","0,871","0,727"
Cândido Rodrigues (SP),"0,789","0,747","0,863","0,762"
Uberlândia (MG),"0,789","0,776","0,885","0,716"
Barretos (SP),"0,789","0,762","0,875","0,738"
Luzerna (SC),"0,789","0,781","0,877","0,718"
Lagoa dos Três Cantos (RS),"0,789","0,765","0,852","0,754"
Araçatuba (SP),"0,788","0,782","0,841","0,744"
Cruzeiro (SP),"0,788","0,742","0,871","0,758"
Mairiporã (SP),"0,788","0,767","0,881","0,723"
Barra Bonita (SP),"0,788","0,762","0,869","0,739"
Criciúma (SC),"0,788","0,786","0,846","0,737"
Indaiatuba (SP),"0,788","0,791","0,837","0,738"
Caçapava (SP),"0,788","0,754","0,858","0,755"
Fernando de Noronha (PE),"0,788","0,781","0,839","0,748"
Palmas (TO),"0,788","0,789","0,827","0,749"
Itajubá (MG),"0,787","0,767","0,884","0,718"
Espírito Santo do Pinhal (SP),"0,787","0,784","0,872","0,712"
Garibaldi (RS),"0,786","0,825","0,856","0,688"
Pompéia (SP),"0,786","0,750","0,864","0,748"
Porto União (SC),"0,786","0,752","0,891","0,724"
Lins (SP),"0,786","0,762","0,869","0,733"
Barueri (SP),"0,786","0,791","0,866","0,708"
Piracicaba (SP),"0,785","0,797","0,848","0,717"
Amparo (SP),"0,785","0,780","0,871","0,711"
Nova Araçá (RS),"0,785","0,796","0,843","0,722"
Cuiabá (MT),"0,785","0,800","0,834","0,726"
Catanduva (SP),"0,785","0,767","0,853","0,740"
Casca (RS),"0,785","0,778","0,847","0,733"
Tremembé (SP),"0,785","0,769","0,873","0,720"
Monte Aprazível (SP),"0,785","0,781","0,861","0,720"
Santa Fé do Sul (SP),"0,784","0,763","0,840","0,751"
Ribeirão Pires (SP),"0,784","0,749","0,847","0,760"
Ivoti (RS),"0,784","0,780","0,848","0,729"
Jaguariúna (SP),"0,784","0,782","0,862","0,715"
Santa Maria (RS),"0,784","0,795","0,848","0,715"
Salto Veloso (SC),"0,784","0,778","0,880","0,705"
Arujá (SP),"0,784","0,761","0,866","0,730"
Timbó (SC),"0,784","0,807","0,856","0,697"
Campo Grande (MS),"0,784","0,790","0,844","0,724"
Mogi Mirim (SP),"0,784","0,767","0,879","0,715"
Horizontina (RS),"0,783","0,782","0,858","0,716"
Pinhalzinho (SC),"0,783","0,758","0,886","0,716"
Mogi das Cruzes (SP),"0,783","0,762","0,851","0,740"
Cascavel (PR),"0,782","0,776","0,846","0,728"
Caxias do Sul (RS),"0,782","0,812","0,860","0,686"
Pato Branco (PR),"0,782","0,778","0,845","0,728"
Cerquilho (SP),"0,782","0,758","0,854","0,739"
Lavras (MG),"0,782","0,757","0,880","0,719"
São Bento do Sul (SC),"0,782","0,763","0,871","0,719"
Caieiras (SP),"0,781","0,740","0,861","0,749"
Ijuí (RS),"0,781","0,786","0,858","0,707"
Santo Amaro da Imperatriz (SC),"0,781","0,753","0,890","0,710"
Bombinhas (SC),"0,781","0,753","0,864","0,732"
Maravilha (SC),"0,781","0,758","0,886","0,708"
Águas da Prata (SP),"0,781","0,750","0,886","0,716"
Lacerdópolis (SC),"0,781","0,763","0,883","0,708"
Santa Bárbara D'Oeste (SP),"0,781","0,752","0,867","0,731"
Araras (SP),"0,781","0,763","0,859","0,728"
Bebedouro (SP),"0,780","0,756","0,853","0,735"
Cocal do Sul (SC),"0,780","0,747","0,859","0,740"
Pomerode (SC),"0,780","0,780","0,886","0,687"
Franca (SP),"0,780","0,749","0,842","0,753"
